File Name,Duration (ss),Fundamental Frequency (Hz),Mean Pitch (Hz),Pitch Sigma (Hz),Minimum Pitch (Hz),Maximum Pitch (Hz),No. of Pulses,No. of periods,Mean Period (ss),Standard Deviation of Period (ss),Fraction of Locally unvoiced frames (%),No. of voice breaks,Degree of voice breaks,Mean auto - correlation,Mean noise-to-harmonics ratio,Mean harmonics-to-noice ratio (dB),Peak Amplitude Channel 1  (dB),Peak Amplitude Channel 2  (dB),Bit Rate (kbs),Sample Rate (Hz),Resolution (bits),No of Samples,Size on memory  (kB),Size on disk (MB),Channels,Source
speaker1_59,60.754979,161.778079,161.778,38.258,86.395,414.053,3770,3613,6.20E-03,1.34E-03,58.47%,149,60.32%,0.859904,0.195872,9.816,-7.36,-14.88,1536,48000,16,2914304,307.46,1.39,stereo,htt://en.m.wikipedia.org/wiki/Diwali
speaker1_60,61.066979,168.084098,168.084,47.426,72.519,442.845,4952,4783,5.99E-03,1.49E-03,47.93%,139,51.15%,0.848271,0.219518,9.578,-18.84,-12.55,1536,48000,16,2928640,307.46,1.4,stereo,htt://en.m.wikipedia.org/wiki/Diwali
speaker2_00,60.03497917,299.398647,299.399,60.849,71.351,499.468,11788,11564,3.36E-03,8.05E-04,29.67%,148,33.71%,0.861121,0.196326,10.068,-0.34,-0.15,1536,48000,16,2880000,309.11,1.37,stereo,htt://en.m.wikipedia.org/wiki/Rani_of_Jhansi
speaker2_01,60.03497917,299.622769,299.623,58.011,83.342,572.771,11779,11539,3.35E-03,6.91E-04,31.35%,151,34.22%,0.872967,0.175213,10.597,-2.53,-0.22,1536,48000,16,2880000,307.46,1.37,stereo,htt://en.m.wikipedia.org/wiki/Rani_of_Jhansi
speaker2_02,60.03497917,299.873512,299.874,64.685,79.081,555.43,11968,11739,3.35E-03,7.85E-04,29.93%,155,33.51%,0.880862,0.162846,10.893,-2.43,-,1536,48000,16,2880000,307.46,1.37,stereo,htt://en.m.wikipedia.org/wiki/Rani_of_Jhansi
speaker2_03,60.03497917,310.522119,310.522,62.319,88.008,526.761,12227,11992,3.23E-03,6.72E-04,30.47%,165,34.60%,0.878212,0.166344,10.762,-0.34,-0.15,1536,48000,16,2880000,307.46,1.37,stereo,htt://en.m.wikipedia.org/wiki/Rani_of_Jhansi
speaker2_04,60.03497917,305.333555,305.334,61.08,77.172,552.144,12050,11811,3.29E-03,7.01E-04,30.93%,167,34.43%,0.871823,0.178199,10.473,-0.65,-0.06,1536,48000,16,2880000,307.46,1.37,stereo,htt://en.m.wikipedia.org/wiki/Rani_of_Jhansi
speaker2_05,60.03497917,307.348545,307.349,63.271,75.251,540.193,12162,11930,3.27E-03,7.48E-04,30.68%,158,34.04%,0.87541,0.171732,10.583,-3.53,-1.47,1536,48000,16,2880000,307.46,1.37,stereo,htt://en.m.wikipedia.org/wiki/Rani_of_Jhansi
speaker2_06,60.03497917,304.281248,304.281,71.458,74.77,618.232,11385,11081,3.31E-03,8.69E-04,32.22%,191,37.61%,0.856982,0.201662,9.628,-3,-0.2,1536,48000,16,2880000,307.46,1.37,stereo,htt://en.m.wikipedia.org/wiki/Rani_of_Jhansi
speaker2_07,60.03497917,305.711076,305.711,70.141,75.359,547.78,11278,11017,3.29E-03,8.38E-04,32.87%,172,38.60%,0.860494,0.197271,9.929,-1.13,-0.09,1536,48000,16,2880000,307.46,1.37,stereo,htt://en.m.wikipedia.org/wiki/Rani_of_Jhansi
speaker2_08,60.03497917,300.010347,300.01,72.899,79.28,575.938,11176,10913,3.35E-03,9.70E-04,32.90%,170,37.78%,0.855729,0.202701,9.556,-1.79,-0.42,1536,48000,16,2880000,307.46,1.37,stereo,htt://en.m.wikipedia.org/wiki/Rani_of_Jhansi
speaker2_09,60.03497917,300.13873,300.139,73.844,76.3,591.202,12125,11863,3.35E-03,9.52E-04,27.52%,170,32.70%,0.861052,0.195296,9.909,-1.36,-,1536,48000,16,2880000,307.46,1.37,stereo,htt://en.m.wikipedia.org/wiki/Rani_of_Jhansi
